Site,UniqueID,Benthos,Quad_ID,ID_number,Day_Night,Sampling_Date,Sampling_Time,TempInSitu,Processing_DateTime,TempInLab,mV,Salinity,TA,TrisCalDate,Salinity_Calibration_Date,Salinity_Lab,Salinity_Lab_Date,NO3,PO4,SIL,NO2,NH4,Notes
Long Beach,B5_Night,Barnacle,B5,5,Night,8/1/2023,21:33,19.65,8/2/2023 9:00,20.45,-75.4,32.75,2191.479707,20230727,8/2/2023,33.58,10/24/2023,0.8,0.44,5.2,0.13,1.85,
Long Beach,M1_Night,Mussel,M1,1,Night,8/1/2023,21:33,20.2,8/2/2023 9:00,20.514,-75.6,33.01,2215.525752,20230727,8/2/2023,33.69,10/24/2023,1.49,0.45,4.7,0.14,2.19,might have a few mls contamination from accidental cal
Long Beach,OO_Night1,Open Ocean,OO1,1,Night,8/1/2023,21:33,20.85,8/2/2023 9:00,20.474,-77.9,33.21,2214.082347,20230727,8/2/2023,33.65,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,RW1_Night,Rockweed,RW1,1,Night,8/1/2023,21:33,21.02,8/2/2023 9:00,20.381,-78.5,32.52,2150.113075,20230727,8/2/2023,33.69,10/24/2023,1,0.54,7,0.13,1.57,
Long Beach,RW3_Night,Rockweed,RW3,3,Night,8/1/2023,21:33,21.02,8/2/2023 9:00,20.54,-78.2,32.75,2150.22158,20230727,8/2/2023,33.57,10/24/2023,2.44,0.57,5.1,0.17,2.62,
Long Beach,RW5_Night,Rockweed,RW5,5,Night,8/1/2023,21:33,21.45,8/2/2023 9:00,20.54,-78.9,32.84,2177.462649,20230727,8/2/2023,33.63,10/24/2023,4,0.68,8.6,0.39,1.86,
Long Beach,P1_Night,Surfgrass,P1,1,Night,8/1/2023,21:33,21.7,8/2/2023 9:00,20.78,-78,32.6,2153.808019,20230727,8/2/2023,33.63,10/24/2023,0.81,0.5,5.7,0.14,1.22,
Long Beach,P3_Night,Surfgrass,P3,3,Night,8/1/2023,21:33,21.06,8/2/2023 9:00,20.77,-78.6,33.2,2150.314599,20230727,8/2/2023,33.7,10/24/2023,0.64,0.61,6.1,0.09,0.87,
Long Beach,B2_Day,Barnacle,B2,2,Day,8/2/2023,11:10,19.26,8/2/2023 19:00,21.998,-70.5,32.45,NA,20230727,8/2/2023,NA,10/24/2023,NA,NA,NA,NA,NA,Barely any TA/pH water
Long Beach,B4_Day,Barnacle,B4,4,Day,8/2/2023,11:10,19.13,8/2/2023 19:00,NA,NA,32.45,NA,20230727,8/2/2023,NA,10/24/2023,1.22,0.45,5.6,0.1,1.27,No TA water
Long Beach,B6_Day,Barnacle,B6,6,Day,8/2/2023,11:10,19.26,8/2/2023 19:00,21.38,-71.3,33.45,2213.248654,20230727,8/2/2023,33.62,10/24/2023,0.79,0.4,5.2,0.17,1.27,
Long Beach,M2_Day,Mussel,M2,2,Day,8/2/2023,11:10,19,8/3/2023 10:00,20.425,-72.6,32.87,2222.896243,20230727,8/2/2023,33.69,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,M4_Day,Mussel,M4,4,Day,8/2/2023,11:10,18.96,8/3/2023 10:00,NA,NA,32.53,NA,20230727,8/2/2023,NA,10/24/2023,NA,NA,NA,NA,NA,No TA
Long Beach,M6_Day,Mussel,M6,6,Day,8/2/2023,11:10,19.35,8/3/2023 10:00,20.682,-71.5,32.96,2232.201609,20230727,8/2/2023,33.68,10/24/2023,3.36,0.4,5.4,0.14,1.62,Barely any TA/pH water
Long Beach,OO_Day2,Open Ocean,OO2,2,Day,8/2/2023,11:10,19.17,8/2/2023 19:00,21.31,-71,32.92,NA,20230727,8/2/2023,34.13,10/24/2023,NA,NA,NA,NA,NA,No Nutrients/ TA bag ripped
Long Beach,RW2_Day,Rockweed,RW2,2,Day,8/2/2023,11:10,19.26,8/2/2023 19:00,22.047,-70.3,33.08,2236.840058,20230727,8/2/2023,33.71,10/24/2023,2.16,0.56,5.6,0.15,2.92,
Long Beach,RW4_Day,Rockweed,RW4,4,Day,8/2/2023,11:10,19.13,8/2/2023 19:00,22.3,-69.4,33.18,2229.400653,20230727,8/2/2023,33.68,10/24/2023,0.45,0.41,12,0.08,0.68,
Long Beach,RW6_Day,Rockweed,RW6,6,Day,8/2/2023,11:10,19.35,8/2/2023 19:00,21.95,-69.4,33.04,2230.971256,20230727,8/2/2023,33.58,10/24/2023,1.15,1.75,6.4,0.35,0.81,
Long Beach,P2_Day,Surfgrass,P2,2,Day,8/2/2023,11:10,19.26,8/3/2023 10:00,20.53,-70.1,33.07,2214.947777,20230727,8/2/2023,33.71,10/24/2023,0.46,1.01,8.3,0.17,0.1,
Long Beach,P4_Day,Surfgrass,P4,3,Day,8/2/2023,11:10,19,8/3/2023 10:00,20.312,-76.2,32.89,2195.992281,20230727,8/2/2023,33.54,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,P6_Day,Surfgrass,P6,6,Day,8/2/2023,11:10,18.4,8/3/2023 10:00,20.217,-77.5,32.82,2176.8265,20230727,8/2/2023,33.27,10/24/2023,0.68,0.5,5.7,0.09,0.84,
Long Beach,B4_Night,Barnacle,B4,4,Night,8/3/2023,23:09,18.4,8/4/2023 10:00,20.71,-74,32.86,2223.684058,20230727,8/2/2023,33.57,10/24/2023,0.4,0.44,4.1,0.08,0.88,
Long Beach,B6_Night,Barnacle,B6,6,Night,8/3/2023,23:09,18.57,8/4/2023 10:00,20.714,-76.5,32.9,2220.391967,20230727,8/2/2023,33.59,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,M6_Night,Mussel,M6,6,Night,8/3/2023,23:09,18.4,8/4/2023 10:00,NA,NA,32.8,NA,20230727,8/2/2023,NA,10/24/2023,1.11,0.31,4.4,0.06,1.03,No TA
Long Beach,OO_Night2,Open Ocean,OO2,2,Night,8/3/2023,23:09,19.09,8/4/2023 10:00,20.63,-77.7,33.1,2209.938584,20230727,8/2/2023,33.56,10/24/2023,NA,NA,NA,NA,NA,
Long Beach,RW2_Night,Rockweed,RW2,2,Night,8/3/2023,23:09,19.17,8/4/2023 10:00,20.92,-74.4,32.88,2206.554815,20230727,8/2/2023,33.36,10/24/2023,0.99,0.63,6.4,0.1,1.35,
Long Beach,RW4_Night,Rockweed,RW4,4,Night,8/3/2023,23:09,19.22,8/4/2023 10:00,NA,NA,32.8,NA,20230727,8/2/2023,NA,10/24/2023,1.99,0.59,6.8,0.1,1.51,No TA
Long Beach,RW6_Night,Rockweed,RW6,6,Night,8/3/2023,23:09,19.13,8/4/2023 10:00,NA,NA,32.9,NA,20230727,8/2/2023,NA,10/24/2023,3.79,0.69,6.8,0.07,2.26,No TA
Long Beach,P2_Night,Surfgrass,P2,2,Night,8/3/2023,23:09,19.26,8/4/2023 10:00,20.7,-78.5,32.9,2188.438082,20230727,8/2/2023,33.57,10/24/2023,0.63,0.5,6.4,0.15,2.74,
Long Beach,P4_Night,Surfgrass,P4,4,Night,8/3/2023,23:09,19.26,8/4/2023 10:00,20.54,-73.8,32.9,2208.601852,20230727,8/2/2023,33.57,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,B2_Day,Barnacle,B2,2,Day,8/4/2023,12:29,19.39,8/4/2023 20:00,NA,NA,32.09,NA,20230727,8/2/2023,NA,10/24/2023,NA,NA,NA,NA,NA,No TA
Long Beach,B4_Day,Barnacle,B4,4,Day,8/4/2023,12:29,19.6,8/4/2023 20:00,21.38,-78.1,33.15,2236.160262,20230727,8/2/2023,33.56,10/24/2023,0.41,0.4,6.1,0.05,0.64,
Long Beach,OO_Day3,Open Ocean,OO,3,Day,8/4/2023,12:29,18.74,8/4/2023 20:00,20.67,-79.9,33.38,2225.060838,20230727,8/2/2023,33.53,10/24/2023,0.3,0.39,5,0.03,0.52,
Long Beach,OO_Day3b,Open Ocean,OO,3,Day,8/4/2023,12:29,18.74,8/4/2023 20:00,21.298,-78.9,33.18,2229.14092,20230727,8/2/2023,33.57,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,P3_Day,Surfgrass,P3,3,Day,8/4/2023,12:29,18.96,8/5/2023 10:00,19.96,-80.2,32.95,2208.918513,20230727,8/2/2023,33.62,10/24/2023,0.62,0.44,6,0.09,0.54,
Long Beach,P5_Day,Surfgrass,P5,5,Day,8/4/2023,12:29,18.7,8/5/2023 10:00,NA,NA,32.95,NA,20230727,8/2/2023,NA,10/24/2023,0.75,0.45,7.3,0.06,0.97,No TA
Long Beach,B2_Night,Barnacle,B2,2,Night,8/5/2023,0:00,19.05,8/5/2023 10:00,19.97,-76.6,32.8,2216.076177,20230727,8/2/2023,33.57,10/24/2023,1.72,1.63,7.1,0.23,1.66,
Long Beach,B3_Night,Barnacle,B3,3,Night,8/5/2023,0:00,18.83,8/5/2023 10:00,19.94,-75.3,32.8,2225.407067,20230727,8/2/2023,33.57,10/24/2023,5.57,0.63,4.6,0.22,2.92,
Long Beach,M1_Nightb,Mussel,M1,1,Night,8/5/2023,0:00,18.44,8/5/2023 10:00,20.045,-74.9,32.82,2228.558572,20230727,8/2/2023,33.58,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,M5_Night,Mussel,M5,5,Night,8/5/2023,0:00,18.49,8/5/2023 10:00,20.73,-73.1,32.8,NA,20230727,8/2/2023,NA,10/24/2023,0.56,0.39,7.3,0.06,0.71,Barely any TA/pH water
Long Beach,OO_Night3,Open Ocean,OO3,3,Night,8/5/2023,0:00,19.65,8/5/2023 10:00,19.96,-79,32.89,2218.178419,20230727,8/2/2023,33.69,10/24/2023,0.27,1.7,6.9,0.2,0.52,
Long Beach,RW4_Nightb,Rockweed,RW4,4,Night,8/5/2023,0:00,19.73,8/5/2023 10:00,19.78,-78.8,32.95,2211.386187,20230727,8/2/2023,33.57,10/24/2023,1.92,0.59,7.5,0.13,1.02,
Long Beach,RW6_Nightb,Rockweed,RW6,6,Night,8/5/2023,0:00,19.86,8/5/2023 10:00,19.88,-79.2,32.83,2215.911914,20230727,8/2/2023,33.64,10/24/2023,0.48,0.58,7.9,0.09,0.66,
Long Beach,B6_Nightb,Barnacle,B6,6,Night,8/6/2023,0:57,19.39,8/6/2023 12:30,20.717,-76.5,32.92,2235.153751,20230727,8/2/2023,33.68,10/24/2023,0.68,0.35,11.1,0.13,0.71,
Long Beach,OO_Night4,Open Ocean,OO4,4,Night,8/6/2023,0:57,19.09,8/6/2023 12:30,20.918,-77.6,33.41,2208.510374,20230727,8/2/2023,33.68,10/24/2023,1.68,0.57,7.5,0.1,1.93,
Long Beach,M2_Dayb,Mussel,M2,2,Day,8/12/2023,9:17,19.47,8/13/2023 6:00,21.768,-77.1,32.98,2249.598333,20230810,8/12/2023,33.62,10/24/2023,0.89,0.41,6.9,0.11,0.21,did not triple rinse nut/fdom
Long Beach,OO_Day4,Open Ocean,OO,4,Day,8/12/2023,9:17,19.47,8/13/2023 6:00,20.317,-69,32.49,2215.072172,20230810,8/12/2023,33.39,10/24/2023,0.53,0.36,7.5,0.09,0.24,"did not triple rinse nut/fdom, used backup SAS so persistaltic tubing was not rinsed between deployments, SAS was not calibrated"
Long Beach,P3_Dayb,Surfgrass,P3,3,Day,8/12/2023,9:17,19.35,8/13/2023 6:00,20.073,-67.7,32.48,2248.489652,20230810,8/12/2023,33.44,10/24/2023,0.17,0.31,6.7,0.06,0,did not triple rinse nut/fdom
Long Beach,M4_Day,Mussel,M4,4,Day,8/12/2023,9:17,,8/13/2023 6:00,NA,NA,NA,NA,20230810,NA,NA,NA,0.14,0.28,6.6,0.09,0.06,"Not listed on processing data sheet, but labeled in freezer"
Long Beach,P5_Day,Surfgrass,P5,5,Day,8/12/2023,9:17,,8/13/2023 6:00,NA,NA,NA,NA,20230810,NA,NA,NA,0.54,0.24,8.4,0.09,0.61,"Not listed on processing data sheet, but labeled in freezer"
Long Beach,M2_Night,Mussel,M2,2,Night,8/13/2023,20:48,20.07,8/14/2023 15:00,21.042,-82.2,33.51,2207.75605,20230810,8/12/2023,33.64,10/24/2023,0.44,0.44,5.4,0.08,0.45,sampled +30 mins after peak high tide
Long Beach,OO_Night4b,Open Ocean,OO,4,Night,8/13/2023,20:48,20.07,8/14/2023 15:00,21.087,-85.3,33.07,2182.219763,20230810,8/12/2023,33.59,10/24/2023,9,2.35,8.3,0.28,NA,"sampled +30 mins after peak high tide, did DI rinse in field before sample, then calibrated"
Long Beach,P4_Nightb,Surfgrass,P4,4,Night,8/13/2023,20:48,20.07,8/14/2023 15:00,21.25,-81.2,33.72,2197.076326,20230810,8/12/2023,33.5,10/24/2023,6.46,1.6,6.4,0.5,NA,sampled +30 mins after peak high tide Not enough water to triple rinse nutrients and fDOM
Long Beach,P5_Night,Surfgrass,P5,5,Night,8/13/2023,20:48,20.37,8/14/2023 15:00,NA,NA,32.16,NA,20230810,8/12/2023,NA,10/24/2023,NA,NA,NA,NA,NA,sampled +30 mins after peak high tide No TA sample
Long Beach,B2_Dayb,Barnacle,B2,2,Day,8/14/2023,10:06,19,8/15/2023 10:00,20.81,-73.2,33.06,2190.4555,20230810,8/12/2023,33.62,10/24/2023,0.5,0.38,NA,0.08,0.02,
Long Beach,M1_Day,Mussel,M1,1,Day,8/14/2023,10:06,18.74,8/15/2023 10:00,20.82,-73.4,33.89,NA,20230810,8/12/2023,33.44,10/24/2023,0.21,0.3,6.2,0.04,0.13,"in flow area got scraped :( , so surrounded by fewer mussels for this sample"
Long Beach,M5_Dayb,Mussel,M5,5,Day,8/14/2023,10:06,19.05,8/15/2023 10:00,21.25,-72.2,33.75,2235.315783,20230810,8/12/2023,33.63,10/24/2023,1.9,0.38,4.9,0.09,0.93,
Long Beach,OO_Day5,Open Ocean,OO,5,Day,8/14/2023,10:06,18.44,8/15/2023 10:00,20.75,-73.2,33.14,2167.063804,20230810,8/12/2023,33.52,10/24/2023,0.41,0.38,5.6,0.05,0.28,
Long Beach,P4_Dayb,Surfgrass,P4,4,Day,8/14/2023,10:06,18.44,8/15/2023 10:00,20.7,-74.2,33.1,2215.027102,20230810,8/12/2023,33.43,10/24/2023,0.15,0.34,5.3,0.05,0,"moved slightly out of surfgrass bed, pic taken"
Long Beach,M3_Night,Mussel,M3,3,Night,8/15/2023,21:24,18.44,8/16/2023 12:00,20.76,-84,33.03,2218.046794,20230810,8/12/2023,33.52,10/24/2023,0.59,0.5,6.1,0.08,0.82,
Long Beach,M5_Night,Mussel,M5,5,Night,8/15/2023,21:24,18.57,8/16/2023 12:00,NA,NA,33.03,NA,20230810,8/12/2023,NA,10/24/2023,0.51,0.38,6.8,0.06,2.82,No TA
Long Beach,OO_Night5,Open Ocean,OO,5,Night,8/15/2023,21:24,18.57,8/16/2023 12:00,20.887,-85.8,33.15,2177.611385,20230810,8/12/2023,33.19,10/24/2023,0.57,0.61,7.8,0.03,1.23,
Long Beach,P6-Night,Surfgrass,P6,6,Night,8/15/2023,21:24,18.02,8/16/2023 12:00,NA,NA,33.12,NA,20230810,8/12/2023,NA,10/24/2023,0.91,0.46,6.1,0.06,0.47,
Long Beach,P4_Night,Surfgrass,P4,4,Night,8/15/2023,21:24,18.02,8/16/2023 12:00,20.831,-82.8,33.12,2193.780971,20230810,8/12/2023,33.54,10/24/2023,0.41,0.45,6.3,0.07,1.19,"moved slightly out of surfgrass bed, pic taken, also bottle label says 8/16This might be labeled 8/16… might actually be 8/16. Used salinity lab for 8/16"
Long Beach,M4_Night,Mussel,M4,4,Night,8/16/2023,21:54,16.17,8/17/2023 10:00,20.037,-77.3,32.99,2218.328579,20230810,8/16/2023,33.48,10/24/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,M6_Nightb,Mussel,M6,6,Night,8/16/2023,21:54,16.47,8/17/2023 10:00,19.87,-75.8,32.78,2222.322702,20230810,8/16/2023,33.43,10/24/2023,0.69,0.39,4.7,0.06,0.35,
Long Beach,OO_Night6,Open Ocean,OO6,6,Night,8/16/2023,21:54,16.47,8/17/2023 10:00,20.033,-81.1,32.49,2204.097574,20230810,8/16/2023,33.54,10/24/2023,0.4,0.56,6.3,0.03,1.11,
Long Beach,OO_Night7,Open Ocean,OO7,7,Night,8/17/2023,22:24,17.2,8/18/2023 12:00,NA,NA,32.26,NA,20230810,8/16/2023,NA,10/24/2023,1.04,0.54,6.0,0.18,1.65,"Barely nutrients, no fDOM, No TA/pH"
Long Beach,P6_Night,Surfgrass,P6,6,Night,8/17/2023,22:24,17.2,8/18/2023 12:00,NA,NA,32.31,NA,20230810,8/16/2023,NA,10/24/2023,0.32,0.35,5.2,0.07,0.89,No TA pH
Long Beach,M2_Day,Mussel,M2,2,Day,8/17/2023,11:10,17.37,8/18/2023 12:00,NA,NA,32.07,NA,20230810,8/16/2023,NA,10/24/2023,0.99,0.32,5.1,0.06,0.55,No TA pH
Long Beach,M3_Day,Mussel,M3,3,Day,8/17/2023,11:10,17.97,8/18/2023 12:00,NA,NA,32.26,NA,20230810,8/16/2023,NA,10/24/2023,1.1,0.35,7.7,0.15,0.86,No TA pH
Long Beach,M6_Day,Mussel,M6,6,Day,8/17/2023,11:10,17.11,8/18/2023 12:00,20.074,-77.2,33.74,2232.310357,20230810,8/16/2023,33.38,10/24/2023,1,0.29,3.7,0.07,0.24,
Long Beach,OO_Day7,Open Ocean,OO7,7,Day,8/17/2023,11:10,17.11,8/18/2023 12:00,20.027,-78.8,33.18,2215.987152,20230810,8/16/2023,33.37,10/24/2023,0.38,0.39,5.1,0.06,1.42,"one of 8/17 is on B5/6 SAS, chance that sample was out of water for a short period"
Long Beach,RW1_Dusk,Rockweed,RW1,1,Dusk,10/21/2023,17:00,18.1,10/22/2023 11:30,22.135,-77.3,33.98,2196.793744,20231019,10/21/2023,33.48,12/7/2023,0.64,0.37,4.9,0.23,1.26,"Reran, old TA 2213.923014"
Long Beach,RW3_Dusk,Rockweed,RW3,3,Dusk,10/21/2023,17:00,18.14,10/22/2023 11:30,21.753,-77.7,33.57,2155.409691,20231019,10/21/2023,33.52,12/7/2023,0.67,0.42,5.6,0.12,0.88,"reran, old TA 2176.596425"
Long Beach,RW5_Dusk,Rockweed,RW5,5,Dusk,10/21/2023,17:00,18.02,10/22/2023 11:30,21.604,,32.03,,20231019,10/21/2023,32.97,12/7/2023,3.13,0.37,18.5,0.28,3.16,"Reran, old TA 2440.150535"
Long Beach,P5_Dusk,Surfgrass,P5,5,Dusk,10/21/2023,17:00,18.02,10/22/2023 11:30,21.275,-77.9,33.25,2205.894024,20231019,10/21/2023,33.46,12/7/2023,0.83,0.41,5.7,0.15,1.54,
Long Beach,00_Dusk1,Open Ocean,OO1,1,Dusk,10/21/2023,17:00,18.02,10/22/2023 11:30,21.484,-77.9,33.47,2201.836085,20231019,10/21/2023,33.48,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,B5_Dusk,Barnacle,B5,5,Dusk,10/21/2023,17:00,18.02,10/22/2023 11:30,21.455,-78,33.49,2161.856937,20231019,10/21/2023,33.49,12/7/2023,0.7,0.4,5,0.16,1.03,"Reran, old TA 2171.164026"
Long Beach,B3_Dusk,Barnacle,B3,3,Dusk,10/21/2023,17:00,18.19,10/22/2023 11:30,NA,NA,NA,NA,20231019,10/21/2023,NA,12/7/2023,0.55,0.43,5.6,0.14,0.95,No TA
Long Beach,B4_Dusk,Barnacle,B4,4,Dusk,10/22/2023,18:05,18.74,10/23/2023 13:00,21.46,-80.3,33.33,2205.557636,20231023,10/21/2023,33.55,12/7/2023,0.57,0.36,4.6,0.13,1.51,
Long Beach,P6_Dusk,Surfgrass,P6,6,Dusk,10/22/2023,18:05,19.22,10/23/2023 13:00,21.533,-81.6,33.38,2206.949933,20231023,10/21/2023,33.6,12/7/2023,0.5,0.32,3.4,0.09,0.57,
Long Beach,P3_Dusk,Surfgrass,P3,3,Dusk,10/22/2023,18:05,19.17,10/23/2023 13:00,21.364,-80.8,33.24,2199.163284,20231023,10/21/2023,33.6,12/7/2023,0.44,0.42,4.2,0.13,3.28,Not enough to 3x rinse for nutrients or fill fDOM
Long Beach,RW2_Dusk,Rockweed,RW2,2,Dusk,10/22/2023,18:05,19.09,10/23/2023 13:00,21.415,-81.2,33.25,2121.885913,20231023,10/21/2023,33.58,12/7/2023,0.85,0.32,4.1,0.11,0.82,"Reran, old TA 2128.588359"
Long Beach,P1_Dusk,Surfgrass,P1,1,Dusk,10/23/2023,18:04,17.67,10/24/2023 11:00,21.365,-77.5,33.22,2185.654833,20231023,10/21/2023,33.51,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,B3_Duskb,Barnacle,B3,3,Dusk,10/23/2023,18:04,17.54,10/24/2023 11:00,21.133,-72.2,33.22,2124.613941,20231023,10/21/2023,33.5,12/7/2023,0.9,0.39,4,0.36,1.83,"Reran, old TA 2135.74415"
Long Beach,RW4_Dusk,Rockweed,RW4,4,Dusk,10/23/2023,18:04,17.67,10/24/2023 11:00,21.241,-78.8,33.3,2174.487496,20231023,10/21/2023,33.44,12/7/2023,0.76,0.45,5.4,0.12,0.87,"Reran, old TA 2179.213161"
Long Beach,B6_Dusk,Barnacle,B6,6,Dusk,10/23/2023,18:04,17.59,10/24/2023 11:00,21.207,-74.8,33.31,2201.567223,20231023,10/21/2023,33.54,12/7/2023,2.69,0.47,4.5,0.31,3.32,"tubing was messed up, do not use Reran, old TA 2207.040752"
Long Beach,B2_Dusk,Barnacle,B2,2,Dusk,10/23/2023,18:04,17.59,10/24/2023 11:00,21.48,-75.8,33.24,2199.091539,20231023,10/21/2023,33.55,12/7/2023,1.45,0.43,5.1,0.26,6.3,TA not 3x rinsed
Long Beach,P4_Dusk,Surfgrass,P4,4,Dusk,10/23/2023,18:04,17.46,10/24/2023 11:00,NA,NA,NA,NA,20231023,10/21/2023,NA,12/7/2023,0.88,0.38,4.3,0.13,2.82,No TA tubing a bit messed up not in usual spot
Long Beach,RW6_Dusk,Rockweed,RW6,6,Dusk,10/24/2023,18:03,19.3,10/25/2023 11:30,22.144,-83.7,33.36,2243.002162,20231024,10/24/2023,33.31,12/7/2023,0.58,0.41,9.2,0.09,0.61,"Reran, old TA 2245.661047"
Long Beach,P4_Duskb,Surfgrass,P4,4,Dusk,10/24/2023,18:03,19.09,10/25/2023 11:30,21.131,-85.4,33.54,2199.043292,20231024,10/24/2023,33.56,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,M5_Dusk,Mussel,M5,5,Dusk,10/24/2023,18:03,19.47,10/25/2023 11:30,21.603,-80.3,33.46,2193.926626,20231024,10/24/2023,33.71,12/7/2023,0.96,0.31,2.8,0.13,1.1,
Long Beach,M4_Dusk,Mussel,M4,4,Dusk,10/24/2023,18:03,19.39,10/25/2023 11:30,21.089,-80.3,33.42,2210.828132,20231024,10/24/2023,33.65,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,B1_Dusk,Barnacle,B1,1,Dusk,10/24/2023,18:03,19.3,10/25/2023 11:30,21.92,-81.7,33.41,2192.144038,20231024,10/24/2023,33.57,12/7/2023,0.5,0.36,3.9,0.11,0.92,"had some phyllo wrapped around it, Reran, old TA 2193.870775"
Long Beach,B6_Duskb,Barnacle,B6,6,Dusk,10/24/2023,18:03,19.22,10/25/2023 11:30,NA,NA,NA,NA,20231024,10/24/2023,NA,12/7/2023,0.30,0.35,4.2,0.1,0.68,No TA
Long Beach,P1_Duskb,Surfgrass,P1,1,Dusk,10/24/2023,18:03,19.22,10/25/2023 11:30,NA,NA,NA,NA,20231024,10/24/2023,NA,12/7/2023,0.79,0.35,4.9,0.17,1.51,No TA
Long Beach,OO_Dusk5,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,19.99,10/26/2023 21:00,21.636,-84.7,33.4,2209.358642,20231024,10/26/2023,33.7,12/7/2023,NA,NA,NA,NA,NA,"Nutrient and TA bag might have been switched, reran old TA 2205.629505"
Long Beach,OO_Dusk5d,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,19.99,10/26/2023 21:00,15.372,-78.6,32.78,NA,20231024,10/26/2023,NA,12/7/2023,NA,NA,NA,NA,NA,"From Nutrient bag, dirty water"
Long Beach,M4_Duskb,Mussel,M4,4,Dusk,10/25/2023,18:02,20.16,10/26/2023 21:00,21.888,-82.5,33.64,2214.978147,20231024,10/26/2023,33.71,12/7/2023,0.66,0.12,3.6,0.07,1.43,
Long Beach,P4_Duskc,Surfgrass,P4,4,Dusk,10/25/2023,18:02,20.07,10/26/2023 21:00,21.477,-83,33.31,NA,20231024,10/26/2023,NA,12/7/2023,0.02,0.19,3.3,0.04,0.50,Not enough TA
